project_id,programme_id
GB-GOV-13-NEWT-BC_EGY_229,leeky-BC
GB-GOV-13-NEWT-BC_EGY_230,leeky-BC
GB-GOV-13-NEWT-BC_EGY_231,leeky-BC
GB-GOV-13-NEWT-BC_EGY_232,leeky-BC
GB-GOV-13-NEWT-BC_EGY_233,leeky-BC
GB-GOV-13-NEWT-BC_EGY_234,leeky-BC
GB-GOV-13-NEWT-BC_EGY_235,leeky-BC
GB-GOV-13-NEWT-BC_EGY_236,leeky-BC
GB-GOV-13-NEWT-BC_EGY_237,leeky-BC
GB-GOV-13-NEWT-BC_EGY_238,leeky-BC
GB-GOV-13-NEWT-BC_EGY_239,leeky-BC
GB-GOV-13-NEWT-BC_EGY_240,leeky-BC
GB-GOV-13-NEWT-BC_EGY_241,leeky-BC
GB-GOV-13-NEWT-BC_EGY_242,leeky-BC
GB-GOV-13-NEWT-BC_EGY_243,leeky-BC
GB-GOV-13-NEWT-BC_EGY_244,leeky-BC
GB-GOV-13-NEWT-BC_EGY_245,leeky-BC
GB-GOV-13-NEWT-BC_EGY_246,leeky-BC
GB-GOV-13-NEWT-BC_EGY_247,leeky-BC
GB-GOV-13-NEWT-BC_EGY_248,leeky-BC
GB-GOV-13-NEWT-BC_EGY_249,leeky-BC
GB-GOV-13-NEWT-BC_EGY_250,leeky-BC
GB-GOV-13-NEWT-BC_EGY_253,leeky-BC
GB-GOV-13-NEWT-BC_IDN_278,leeky-BC
GB-GOV-13-NEWT-BC_IDN_279,leeky-BC
GB-GOV-13-NEWT-BC_IDN_280,leeky-BC
GB-GOV-13-NEWT-BC_IDN_283,leeky-BC
GB-GOV-13-NEWT-BC_IDN_284,leeky-BC
GB-GOV-13-NEWT-BC_IDN_286,leeky-BC
GB-GOV-13-NEWT-BC_IDN_287,leeky-BC
GB-GOV-13-NEWT-BC_IDN_288,leeky-BC
GB-GOV-13-NEWT-BC_IDN_289,leeky-BC
GB-GOV-13-NEWT-BC_IDN_290,leeky-BC
GB-GOV-13-NEWT-BC_IDN_292,leeky-BC
GB-GOV-13-NEWT-BC_IDN_293,leeky-BC
GB-GOV-13-NEWT-BC_IDN_295,leeky-BC
GB-GOV-13-NEWT-BC_IDN_297,leeky-BC
GB-GOV-13-NEWT-BC_IDN_298,leeky-BC
GB-GOV-13-NEWT-BC_IDN_299,leeky-BC
GB-GOV-13-NEWT-BC_IDN_300,leeky-BC
GB-GOV-13-NEWT-BC_IDN_301,leeky-BC
GB-GOV-13-NEWT-BC_IDN_302,leeky-BC
GB-GOV-13-NEWT-BC_IDN_305,leeky-BC
GB-GOV-13-NEWT-BC_IDN_308,leeky-BC
GB-GOV-13-NEWT-BC_IDN_312,leeky-BC
GB-GOV-13-NEWT-BC_IDN_313,leeky-BC
GB-GOV-13-NEWT-BC_IDN_314,leeky-BC
GB-GOV-13-NEWT-BC_IDN_315,leeky-BC
GB-GOV-13-NEWT-BC_IDN_316,leeky-BC
GB-GOV-13-NEWT-BC_IDN_317,leeky-BC
GB-GOV-13-NEWT-BC_IND_253,leeky-BC
GB-GOV-13-NEWT-BC_IND_254,leeky-BC
GB-GOV-13-NEWT-BC_IND_255,leeky-BC
GB-GOV-13-NEWT-BC_IND_256,leeky-BC
GB-GOV-13-NEWT-BC_IND_258,leeky-BC
GB-GOV-13-NEWT-BC_IND_259,leeky-BC
GB-GOV-13-NEWT-BC_IND_260,leeky-BC
GB-GOV-13-NEWT-BC_IND_261,leeky-BC
GB-GOV-13-NEWT-BC_IND_263,leeky-BC
GB-GOV-13-NEWT-BC_IND_264,leeky-BC
GB-GOV-13-NEWT-BC_IND_265,leeky-BC
GB-GOV-13-NEWT-BC_IND_268,leeky-BC
GB-GOV-13-NEWT-BC_IND_269,leeky-BC
GB-GOV-13-NEWT-BC_IND_270,leeky-BC
GB-GOV-13-NEWT-BC_IND_272,leeky-BC
GB-GOV-13-NEWT-BC_IND_273,leeky-BC
GB-GOV-13-NEWT-BC_IND_274,leeky-BC
GB-GOV-13-NEWT-BC_IND_275,leeky-BC
GB-GOV-13-NEWT-BC_IND_279,leeky-BC
GB-GOV-13-NEWT-BC_IND_280,leeky-BC
GB-GOV-13-NEWT-BC_IND_281,leeky-BC
GB-GOV-13-NEWT-BC_IND_283,leeky-BC
GB-GOV-13-NEWT-BC_Jordan_BC_JOR_01,leeky-BC
GB-GOV-13-NEWT-BC_Jordan_BC_JOR_02,leeky-BC
GB-GOV-13-NEWT-BC_KAZ_313,leeky-BC
GB-GOV-13-NEWT-BC_KAZ_314,leeky-BC
GB-GOV-13-NEWT-BC_KAZ_315,leeky-BC
GB-GOV-13-NEWT-BC_KAZ_316,leeky-BC
GB-GOV-13-NEWT-BC_KAZ_317,leeky-BC
GB-GOV-13-NEWT-BC_KAZ_319,leeky-BC
GB-GOV-13-NEWT-BC_KAZ_320,leeky-BC
GB-GOV-13-NEWT-BC_KAZ_322,leeky-BC
GB-GOV-13-NEWT-BC_KAZ_323,leeky-BC
GB-GOV-13-NEWT-BC_KAZ_324,leeky-BC
GB-GOV-13-NEWT-BC_KAZ_325,leeky-BC
GB-GOV-13-NEWT-BC_KAZ_327,leeky-BC
GB-GOV-13-NEWT-BC_KEN_100,leeky-BC
GB-GOV-13-NEWT-BC_KEN_101,leeky-BC
GB-GOV-13-NEWT-BC_KEN_102,leeky-BC
GB-GOV-13-NEWT-BC_MEX_358,leeky-BC
GB-GOV-13-NEWT-BC_MEX_359,leeky-BC
GB-GOV-13-NEWT-BC_MEX_360,leeky-BC
GB-GOV-13-NEWT-BC_MEX_361,leeky-BC
GB-GOV-13-NEWT-BC_MEX_363,leeky-BC
GB-GOV-13-NEWT-BC_MEX_365,leeky-BC
GB-GOV-13-NEWT-BC_MEX_366,leeky-BC
GB-GOV-13-NEWT-BC_MEX_367,leeky-BC
GB-GOV-13-NEWT-BC_MEX_368,leeky-BC
GB-GOV-13-NEWT-BC_MEX_375,leeky-BC
GB-GOV-13-NEWT-BC_MEX_376,leeky-BC
GB-GOV-13-NEWT-BC_MEX_377,leeky-BC
GB-GOV-13-NEWT-BC_MEX_378,leeky-BC
GB-GOV-13-NEWT-BC_MEX_379,leeky-BC
GB-GOV-13-NEWT-BC_MEX_381,leeky-BC
GB-GOV-13-NEWT-BC_MEX_LATAM01,leeky-BC
GB-GOV-13-NEWT-BC_MEX_LATAMKEW,leeky-BC
GB-GOV-13-NEWT-BC_MYS_334,leeky-BC
GB-GOV-13-NEWT-BC_MYS_335,leeky-BC
GB-GOV-13-NEWT-BC_MYS_336,leeky-BC
GB-GOV-13-NEWT-BC_MYS_337,leeky-BC
GB-GOV-13-NEWT-BC_MYS_338,leeky-BC
GB-GOV-13-NEWT-BC_MYS_339,leeky-BC
GB-GOV-13-NEWT-BC_MYS_340,leeky-BC
GB-GOV-13-NEWT-BC_MYS_341,leeky-BC
GB-GOV-13-NEWT-BC_MYS_342,leeky-BC
GB-GOV-13-NEWT-BC_MYS_343,leeky-BC
GB-GOV-13-NEWT-BC_MYS_345,leeky-BC
GB-GOV-13-NEWT-BC_MYS_347,leeky-BC
GB-GOV-13-NEWT-BC_MYS_349,leeky-BC
GB-GOV-13-NEWT-BC_MYS_352,leeky-BC
GB-GOV-13-NEWT-BC_MYS_353,leeky-BC
GB-GOV-13-NEWT-BC_MYS_358,leeky-BC
GB-GOV-13-NEWT-BC_MYS_359,leeky-BC
GB-GOV-13-NEWT-BC_MYS_360,leeky-BC
GB-GOV-13-NEWT-BC_MYS_363,leeky-BC
GB-GOV-13-NEWT-BC_MYS_364,leeky-BC
GB-GOV-13-NEWT-BC_PER_1,leeky-BC
GB-GOV-13-NEWT-BC_PER_10,leeky-BC
GB-GOV-13-NEWT-BC_PER_11,leeky-BC
GB-GOV-13-NEWT-BC_PER_2,leeky-BC
GB-GOV-13-NEWT-BC_PER_3,leeky-BC
GB-GOV-13-NEWT-BC_PER_4,leeky-BC
GB-GOV-13-NEWT-BC_PER_5,leeky-BC
GB-GOV-13-NEWT-BC_PER_6,leeky-BC
GB-GOV-13-NEWT-BC_PER_7,leeky-BC
GB-GOV-13-NEWT-BC_PER_8,leeky-BC
GB-GOV-13-NEWT-BC_PER_9,leeky-BC
GB-GOV-13-NEWT-BC_PER_LATAM01,leeky-BC
GB-GOV-13-NEWT-BC_PER_LATAMKEW,leeky-BC
GB-GOV-13-NEWT-BC_PHL_375,leeky-BC
GB-GOV-13-NEWT-BC_PHL_376,leeky-BC
GB-GOV-13-NEWT-BC_PHL_377,leeky-BC
GB-GOV-13-NEWT-BC_PHL_379,leeky-BC
GB-GOV-13-NEWT-BC_PHL_380,leeky-BC
GB-GOV-13-NEWT-BC_PHL_381,leeky-BC
GB-GOV-13-NEWT-BC_PHL_383,leeky-BC
GB-GOV-13-NEWT-BC_PHL_385,leeky-BC
GB-GOV-13-NEWT-BC_PHL_386,leeky-BC
GB-GOV-13-NEWT-BC_PHL_387,leeky-BC
GB-GOV-13-NEWT-BC_PHL_389,leeky-BC
GB-GOV-13-NEWT-BC_PHL_390,leeky-BC
GB-GOV-13-NEWT-BC_PHL_393,leeky-BC
GB-GOV-13-NEWT-BC_PHL_394,leeky-BC
GB-GOV-13-NEWT-BC_PHL_395,leeky-BC
GB-GOV-13-NEWT-BC_PHL_397,leeky-BC
GB-GOV-13-NEWT-BC_PHL_400,leeky-BC
GB-GOV-13-NEWT-BC_PHL_401,leeky-BC
GB-GOV-13-NEWT-BC_PHL_402,leeky-BC
GB-GOV-13-NEWT-BC_PHL_403,leeky-BC
GB-GOV-13-NEWT-BC_PHL_404,leeky-BC
GB-GOV-13-NEWT-BC_PHL_405,leeky-BC
GB-GOV-13-NEWT-BC_PHL_406,leeky-BC
GB-GOV-13-NEWT-BC_PHL_407,leeky-BC
GB-GOV-13-NEWT-BC_PHL_408,leeky-BC
GB-GOV-13-NEWT-BC_THA_409,leeky-BC
GB-GOV-13-NEWT-BC_THA_410,leeky-BC
GB-GOV-13-NEWT-BC_THA_411,leeky-BC
GB-GOV-13-NEWT-BC_THA_414,leeky-BC
GB-GOV-13-NEWT-BC_THA_415,leeky-BC
GB-GOV-13-NEWT-BC_THA_416,leeky-BC
GB-GOV-13-NEWT-BC_THA_417,leeky-BC
GB-GOV-13-NEWT-BC_THA_418,leeky-BC
GB-GOV-13-NEWT-BC_THA_419,leeky-BC
GB-GOV-13-NEWT-BC_THA_420,leeky-BC
GB-GOV-13-NEWT-BC_THA_423,leeky-BC
GB-GOV-13-NEWT-BC_THA_424,leeky-BC
GB-GOV-13-NEWT-BC_THA_425,leeky-BC
GB-GOV-13-NEWT-BC_THA_427,leeky-BC
GB-GOV-13-NEWT-BC_THA_428,leeky-BC
GB-GOV-13-NEWT-BC_THA_429,leeky-BC
GB-GOV-13-NEWT-BC_THA_430,leeky-BC
GB-GOV-13-NEWT-BC_THA_431,leeky-BC
GB-GOV-13-NEWT-BC_THA_432,leeky-BC
GB-GOV-13-NEWT-BC_THA_434,leeky-BC
GB-GOV-13-NEWT-BC_THA_435,leeky-BC
GB-GOV-13-NEWT-BC_THA_437,leeky-BC
GB-GOV-13-NEWT-BC_THA_438,leeky-BC
GB-GOV-13-NEWT-BC_THA_441,leeky-BC
GB-GOV-13-NEWT-BC_THA_442,leeky-BC
GB-GOV-13-NEWT-BC_THA_444,leeky-BC
GB-GOV-13-NEWT-BC_THA_445,leeky-BC
GB-GOV-13-NEWT-BC_THA_446,leeky-BC
GB-GOV-13-NEWT-BC_THA_447,leeky-BC
GB-GOV-13-NEWT-BC_THA_448,leeky-BC
GB-GOV-13-NEWT-BC_TUR_436,leeky-BC
GB-GOV-13-NEWT-BC_TUR_437,leeky-BC
GB-GOV-13-NEWT-BC_TUR_438,leeky-BC
GB-GOV-13-NEWT-BC_TUR_439,leeky-BC
GB-GOV-13-NEWT-BC_TUR_440,leeky-BC
GB-GOV-13-NEWT-BC_TUR_441,leeky-BC
GB-GOV-13-NEWT-BC_TUR_443,leeky-BC
GB-GOV-13-NEWT-BC_TUR_449,leeky-BC
GB-GOV-13-NEWT-BC_TUR_454,leeky-BC
GB-GOV-13-NEWT-BC_TUR_455,leeky-BC
GB-GOV-13-NEWT-BC_TUR_456,leeky-BC
GB-GOV-13-NEWT-BC_TUR_457,leeky-BC
GB-GOV-13-NEWT-BC_TUR_463,leeky-BC
GB-GOV-13-NEWT-BC_TUR_464,leeky-BC
GB-GOV-13-NEWT-BC_TUR_465,leeky-BC
GB-GOV-13-NEWT-BC_TUR_466,leeky-BC
GB-GOV-13-NEWT-BC_TUR_467,leeky-BC
GB-GOV-13-NEWT-BC_TUR_468,leeky-BC
GB-GOV-13-NEWT-BC_VNM_462,leeky-BC
GB-GOV-13-NEWT-BC_VNM_463,leeky-BC
GB-GOV-13-NEWT-BC_VNM_464,leeky-BC
GB-GOV-13-NEWT-BC_VNM_465,leeky-BC
GB-GOV-13-NEWT-BC_VNM_466,leeky-BC
GB-GOV-13-NEWT-BC_VNM_467,leeky-BC
GB-GOV-13-NEWT-BC_VNM_468,leeky-BC
GB-GOV-13-NEWT-BC_VNM_469,leeky-BC
GB-GOV-13-NEWT-BC_VNM_470,leeky-BC
GB-GOV-13-NEWT-BC_VNM_473,leeky-BC
GB-GOV-13-NEWT-BC_VNM_474,leeky-BC
GB-GOV-13-NEWT-BC_VNM_476,leeky-BC
GB-GOV-13-NEWT-BC_VNM_479,leeky-BC
GB-GOV-13-NEWT-BC_VNM_480,leeky-BC
GB-GOV-13-NEWT-BC_VNM_481,leeky-BC
GB-GOV-13-NEWT-BC_VNM_482,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_393,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_394,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_395,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_396,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_397,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_398,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_399,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_400,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_401,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_402,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_403,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_404,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_406,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_407,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_409,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_410,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_411,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_412,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_413,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_415,leeky-BC
GB-GOV-13-NEWT-BC_ZAF_416,leeky-BC
